Date,Open,High,Low,Close,Adj Close,Volume
12/1/2017,29.725,29.825001,29.5525,29.8125,28.192831,108344800
13/1/2017,29.7775,29.905001,29.702499,29.76,28.143188,104447600
17/1/2017,29.584999,30.059999,29.555,30,28.37015,137759200
18/1/2017,30,30.125,29.9275,29.997499,28.367781,94852000
19/1/2017,29.85,30.022499,29.842501,29.945,28.318136,102389200
20/1/2017,30.112499,30.112499,29.932501,30,28.37015,130391600
23/1/2017,30,30.202499,29.942499,30.02,28.389057,88200800
24/1/2017,29.887501,30.025,29.875,29.9925,28.363052,92844000
25/1/2017,30.105,30.525,30.07,30.469999,28.81461,129510400
26/1/2017,30.4175,30.610001,30.4,30.485001,28.828796,105350400
27/1/2017,30.535,30.5875,30.4,30.487499,28.83116,82251600
30/1/2017,30.2325,30.407499,30.165001,30.407499,28.755507,121510000
31/1/2017,30.2875,30.3475,30.155001,30.3375,28.689308,196804000
1/2/2017,31.7575,32.622501,31.752501,32.1875,30.438799,447940000
2/2/2017,31.995001,32.3475,31.945,32.1325,30.386791,134841600
3/2/2017,32.077499,32.297501,32.040001,32.27,30.516821,98029200
6/2/2017,32.282501,32.625,32.224998,32.572498,30.802887,107383600
7/2/2017,32.634998,33.022499,32.612499,32.8825,31.096045,152735200
8/2/2017,32.837502,33.055,32.805,33.009998,31.216612,92016400
9/2/2017,32.912498,33.112499,32.779999,33.105,31.442188,113399600
10/2/2017,33.115002,33.235001,33.012501,33.029999,31.370947,80262000
13/2/2017,33.27,33.455002,33.1875,33.322498,31.648762,92141600
14/2/2017,33.3675,33.772499,33.3125,33.755001,32.059544,132904800
15/2/2017,33.880001,34.067501,33.654999,33.877499,32.175884,142492400
16/2/2017,33.9175,33.974998,33.709999,33.837502,32.137894,90338400
17/2/2017,33.775002,33.9575,33.775002,33.93,32.225754,88792800
21/2/2017,34.057499,34.1875,33.994999,34.174999,32.458447,98028800
22/2/2017,34.107498,34.279999,34.0275,34.2775,32.555794,83347600
23/2/2017,34.345001,34.369999,34.075001,34.1325,32.418076,83152800
24/2/2017,33.977501,34.165001,33.82,34.165001,32.448948,87106400
27/2/2017,34.285,34.360001,34.07,34.232498,32.513054,81029600
28/2/2017,34.27,34.360001,34.174999,34.247501,32.527302,93931600
1/3/2017,34.4725,35.037498,34.400002,34.947498,33.192142,145658400
2/3/2017,35,35.07,34.689999,34.740002,32.995064,104844000
3/3/2017,34.695,34.9575,34.647499,34.945,33.189762,84432400
6/3/2017,34.842499,34.942501,34.650002,34.834999,33.085289,87000000
7/3/2017,34.764999,34.994999,34.697498,34.880001,33.128029,69785200
8/3/2017,34.737499,34.950001,34.705002,34.75,33.004562,74828800
9/3/2017,34.685001,34.697498,34.262501,34.669998,32.928577,88623600
10/3/2017,34.8125,34.84,34.66,34.785,33.037796,78451200
13/3/2017,34.712502,34.857498,34.705002,34.799999,33.052044,69686800
14/3/2017,34.825001,34.912498,34.709999,34.747501,33.002182,61236400
15/3/2017,34.852501,35.1875,34.7575,35.115002,33.351227,102767200
16/3/2017,35.18,35.255001,35.064999,35.172501,33.405842,76928000
17/3/2017,35.25,35.25,34.9725,34.997501,33.239635,175540000
20/3/2017,35.099998,35.375,35.057499,35.365002,33.588676,86168000
21/3/2017,35.5275,35.700001,34.932499,34.959999,33.204002,158119600
22/3/2017,34.962502,35.400002,34.939999,35.355,33.57917,103440800
23/3/2017,35.314999,35.395,35.1525,35.23,33.460449,81385200
24/3/2017,35.375,35.435001,35.087502,35.16,33.393963,89582400
27/3/2017,34.8475,35.305,34.654999,35.220001,33.450958,94300400
28/3/2017,35.227501,36.009998,35.154999,35.950001,34.144287,133499200
29/3/2017,35.919998,36.122501,35.797501,36.029999,34.220264,116760000
30/3/2017,36.047501,36.125,35.875,35.982498,34.175156,84829200
31/3/2017,35.93,36.067501,35.752499,35.915001,34.111042,78646800
3/4/2017,35.927502,36.029999,35.762501,35.924999,34.120541,79942800
4/4/2017,35.8125,36.2225,35.7925,36.192501,34.374607,79565600
5/4/2017,36.055,36.365002,35.952499,36.005001,34.196522,110871600
6/4/2017,36.072498,36.130001,35.862499,35.915001,34.111042,84596000
7/4/2017,35.932499,36.044998,35.817501,35.834999,34.035061,66688800
10/4/2017,35.900002,35.970001,35.724998,35.7925,33.994701,75733600
11/4/2017,35.735001,35.837502,35.014999,35.407501,33.629044,121517600
12/4/2017,35.400002,35.537498,35.252499,35.450001,33.669403,81400000
13/4/2017,35.477501,35.595001,35.262501,35.262501,33.491325,71291600
17/4/2017,35.369999,35.470001,35.217499,35.4575,33.676521,66328400
18/4/2017,35.352501,35.509998,35.2775,35.299999,33.526943,58790000
19/4/2017,35.470001,35.5,35.112499,35.169998,33.403461,69313600
20/4/2017,35.305,35.73,35.290001,35.610001,33.821369,93278400
21/4/2017,35.610001,35.669998,35.462502,35.567501,33.780998,69283600
24/4/2017,35.875,35.987499,35.794998,35.91,34.106297,68537200
25/4/2017,35.977501,36.224998,35.967499,36.1325,34.317619,75486000
26/4/2017,36.1175,36.150002,35.845001,35.919998,34.115788,80164800
27/4/2017,35.98,36.040001,35.827499,35.947498,34.141903,56985200
28/4/2017,36.022499,36.075001,35.817501,35.912498,34.108673,83441600
1/5/2017,36.275002,36.799999,36.240002,36.645,34.804371,134411600
2/5/2017,36.884998,37.022499,36.709999,36.877499,35.0252,181408800
3/5/2017,36.397499,36.872501,36.067501,36.764999,34.91835,182788000
4/5/2017,36.630001,36.785,36.452499,36.6325,34.792503,93487600
5/5/2017,36.689999,37.244999,36.689999,37.240002,35.369492,109310800
8/5/2017,37.2575,38.424999,37.2575,38.252499,36.331139,195009600
9/5/2017,38.467499,38.720001,38.362499,38.497501,36.563831,156521600
10/5/2017,38.407501,38.485001,38.0275,38.314999,36.390495,103222800
11/5/2017,38.112499,38.517502,38.077499,38.487499,36.705208,109020400
12/5/2017,38.674999,39.105,38.6675,39.025002,37.217823,130108000
15/5/2017,39.002499,39.162498,38.762501,38.924999,37.122452,104038800
